"Felipe De Leon - Payapang Daigdig
First Line","1. [Intro]
1. <A>-- <A>--           ... ..."
"Felipe De Leon - Payapang Daigdig
1. [Intro]
1. <A>-- <A>--           ... ...","1. [Intro]
2. <A>-- <A>--           ... ..."
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
1. <A>-- ---             Ang gabi'y payapa"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
2. <D>-- <Dm>--          Lahat ay tahimik"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
3. <A>-- <F#m>--         Pati mga tala"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
4. <B7>-- <E>--          Sa bughaw na langit"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
5. <A>-- <A7>--          Kay hinhin ng hangin"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
6. <D>-- ---             Waring umiibig"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
7. <E>-- ---             Sa kapayapaan"
"Felipe De Leon - Payapang Daigdig
1. [Intro]
2. <A>-- <A>--           ... ...","2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
1. <D>-- ---             Payapang panahon"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
2. <A>-- <A7>--          Ay diwa ng buhay"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
3. <D>-- ---             Biyaya ng Diyos"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
4. <A>-- ---             Sa sangkatauhan"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
5. <A>-- ---             Ang gabi'y payapa"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
6. <A7>-- <D>--          Lahat ay tahimik"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
7. <D>-- <A>--           Pati mga tala"
"Felipe De Leon - Payapang Daigdig
2. [Verse]
8. <D>- <E> <A>- <A7>    Ng buong daigdig","3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit"
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
1. <A>-- ---             ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
2. <D>-- <Dm>--          ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
3. <A>-- <F#m>--         ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
4. <B7>-- <E>--          ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
5. <A>-- <A7>--          ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
6. <D>-- ---             ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
7. <E>-- ---             ... ..."
"Felipe De Leon - Payapang Daigdig
3. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit","4. [Solo]
8. <D>- <E> <A>- <A7>    ... ..."
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
1. <D>-- ---             Payapang panahon"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
2. <A>-- <A7>--          Ay diwa ng buhay"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
3. <D>-- ---             Biyaya ng Diyos"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
4. <A>-- ---             Sa sangkatauhan"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
5. <A>-- ---             Ang gabi'y payapa"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
6. <A7>-- <D>--          Lahat ay tahimik"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
7. <D>-- <A>--           Pati mga tala"
"Felipe De Leon - Payapang Daigdig
4. [Solo]
8. <D>- <E> <A>- <A7>    ... ...","5. [Chorus]
8. <E7>-- <A>--          Sa bughaw na langit"
